TEAM,GP,W,L,MIN,"OPP
FGM","OPP
FGA","OPP
FG%","OPP
3PM","OPP
3PA","OPP
3P%","OPP
FTM","OPP
FTA","OPP
FT%","OPP
OREB","OPP
DREB","OPP
REB","OPP
AST","OPP
TOV","OPP
STL","OPP
BLK","OPP
BLKA","OPP
PF","OPP
PFD","OPP
PTS",+/-
Boston Celtics,34,24,10,1652,1431,3063,46.7,384,1093,35.1,576,734,78.5,347,1164,1511,749,461,220,131,175,691,667,3822,-214
Cleveland Cavaliers,34,22,12,1662,1302,2862,45.5,390,1107,35.2,572,756,75.7,321,1041,1362,769,513,255,148,139,732,652,3566,-204
Milwaukee Bucks,33,22,11,1594,1356,2983,45.5,393,1108,35.5,529,682,77.6,343,1075,1418,744,419,225,145,178,647,610,3634,-83
Brooklyn Nets,33,21,12,1589,1318,2895,45.5,406,1095,37.1,625,828,75.5,371,1055,1426,756,484,254,120,222,615,726,3667,-99
Denver Nuggets,31,20,11,1493,1299,2675,48.6,386,1072,36.0,542,717,75.6,292,996,1242,815,427,236,142,136,650,597,3526,-57
Memphis Grizzlies,32,20,12,1546,1283,2869,44.7,422,1184,35.6,572,756,75.7,348,1035,1383,845,463,228,160,187,696,635,3560,-135
New Orleans Pelicans,32,20,12,1566,1329,2860,46.5,406,1201,33.8,553,709,78.0,335,1026,1361,815,518,232,160,140,665,652,3617,-157
Philadelphia 76ers,32,20,12,1556,1260,2728,46.2,346,1053,32.9,581,749,77.6,324,1060,1384,768,506,223,159,143,625,653,3447,-128
LA Clippers,34,19,15,1637,1364,3010,45.3,393,1159,33.9,546,719,75.9,352,1132,1484,817,448,290,146,165,672,675,3667,3
Phoenix Suns,33,19,14,1594,1318,2806,47.0,364,996,36.5,667,837,79.7,373,1100,1425,760,518,224,139,175,668,705,3667,-134
Utah Jazz,35,19,16,1695,1512,3141,48.1,367,1055,34.8,666,849,78.4,410,1130,1540,812,511,266,170,168,716,739,4057,-39
Dallas Mavericks,34,18,16,1652,1365,2841,48.0,371,1037,35.8,623,792,78.7,316,1143,1459,806,500,215,139,133,767,706,3724,-62
New York Knicks,34,18,16,1652,1373,3032,45.3,440,1280,34.4,624,816,76.5,380,1111,1491,849,464,210,157,151,721,719,3810,-81
Atlanta Hawks,33,17,16,1599,1383,2933,47.2,364,1066,34.1,661,821,80.5,360,1147,1507,818,507,246,172,160,682,652,3791,10
Indiana Pacers,33,17,16,1584,1351,2903,46.5,406,1115,36.4,695,852,81.6,401,1112,1513,823,533,255,165,199,659,731,3803,22
Portland Trail Blazers,33,17,16,1594,1364,2866,47.6,386,1075,35.9,581,757,76.8,335,1030,1365,843,454,261,149,130,701,669,3695,0
Sacramento Kings,31,17,14,1493,1329,2741,48.5,346,943,36.7,599,742,80.7,290,1028,1318,770,449,226,138,97,668,649,3603,-59
Golden State Warriors,34,16,18,1637,1428,3044,46.9,443,1234,35.9,700,892,78.5,363,1128,1491,864,518,277,136,138,636,745,3999,32
Miami Heat,33,16,17,1599,1326,2803,47.3,436,1211,36.0,514,664,77.4,302,1132,1434,842,531,221,138,103,666,630,3602,39
Minnesota Timberwolves,33,16,17,1589,1358,2956,45.9,470,1268,37.1,631,829,76.1,382,1082,1464,866,519,271,124,177,674,719,3817,30
Toronto Raptors,33,15,18,1594,1317,2692,48.9,402,1122,35.8,621,776,80.0,295,1081,1376,854,558,202,157,166,697,673,3657,-18
Chicago Bulls,32,14,18,1551,1332,2782,47.9,435,1146,38.0,566,725,78.1,288,1100,1388,851,498,209,174,152,614,634,3665,41
Oklahoma City Thunder,33,14,19,1614,1388,2985,46.5,436,1194,36.5,644,823,78.3,408,1182,1590,819,561,267,177,171,660,711,3856,48
Los Angeles Lakers,33,13,20,1599,1466,3108,47.2,425,1213,35.0,537,704,76.3,374,1146,1520,869,433,272,163,162,708,616,3894,76
Orlando Magic,34,13,21,1642,1404,2994,46.9,423,1268,33.4,616,784,78.6,340,1063,1403,856,465,278,175,168,684,711,3847,97
Washington Wizards,34,13,21,1642,1406,3023,46.5,414,1101,37.6,639,791,80.8,343,1147,1490,808,435,217,148,185,661,671,3865,85
San Antonio Spurs,32,10,22,1541,1443,2851,50.6,407,1036,39.3,552,701,78.7,330,1066,1396,870,483,261,134,134,604,637,3845,305
Charlotte Hornets,33,9,24,1614,1415,2942,48.1,421,1157,36.4,646,828,78.0,360,1163,1523,872,515,206,218,161,692,713,3897,224
Houston Rockets,32,9,23,1546,1334,2812,47.4,448,1229,36.5,573,739,77.5,350,983,1333,815,476,284,196,153,712,659,3689,187
Detroit Pistons,35,8,27,1690,1512,3108,48.6,424,1194,35.5,694,883,78.6,377,1196,1573,906,466,236,215,127,764,791,4142,271
