TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Boston Celtics,34,24,10,0.706,1652,4036,1432,2988,47.9,540,1425,37.9,632,764,82.7,311,1171,1482,898,469,230,175,131,667,691,214
Milwaukee Bucks,33,22,11,0.667,1594,3717,1354,2929,46.2,430,1229,35.0,579,781,74.1,385,1199,1584,811,504,216,178,145,610,647,83
Cleveland Cavaliers,34,22,12,0.647,1662,3770,1375,2862,48.0,390,1064,36.7,630,795,79.2,316,1135,1451,799,498,220,139,148,652,732,204
Denver Nuggets,31,20,11,0.645,1493,3583,1350,2670,50.6,359,923,38.9,524,712,73.6,317,1023,1340,876,473,221,136,142,597,650,57
Brooklyn Nets,33,21,12,0.636,1589,3766,1406,2768,50.8,396,1030,38.4,558,696,80.2,258,1073,1331,876,485,233,222,120,726,615,99
Memphis Grizzlies,32,20,12,0.625,1546,3695,1375,2949,46.6,373,1076,34.7,572,806,71.0,416,1146,1562,799,463,239,187,160,635,696,135
New Orleans Pelicans,32,20,12,0.625,1566,3774,1386,2867,48.3,363,989,36.7,639,808,79.1,373,1075,1448,864,488,282,140,160,652,665,157
Philadelphia 76ers,32,20,12,0.625,1556,3575,1271,2672,47.6,409,1060,38.6,624,763,81.8,259,1034,1293,779,458,272,143,159,653,625,128
Phoenix Suns,33,19,14,0.576,1594,3801,1414,3011,47.0,430,1146,37.5,543,687,79.0,430,1091,1427,888,438,237,175,139,705,668,134
LA Clippers,34,19,15,0.559,1637,3664,1327,2878,46.1,419,1135,36.9,591,787,75.1,329,1176,1505,772,532,215,165,146,675,672,-3
Sacramento Kings,31,17,14,0.548,1493,3662,1316,2705,48.7,414,1164,35.6,616,793,77.7,263,1051,1314,830,456,214,97,138,649,668,59
Utah Jazz,35,19,16,0.543,1695,4096,1490,3141,47.4,518,1393,37.2,598,771,77.6,411,1108,1519,913,547,249,168,170,739,716,39
Dallas Mavericks,34,18,16,0.529,1652,3786,1318,2825,46.7,509,1411,36.1,641,866,74.0,269,1051,1320,747,437,248,133,139,706,767,62
New York Knicks,34,18,16,0.529,1652,3891,1412,3073,45.9,393,1159,33.9,674,855,78.8,439,1166,1605,796,475,231,151,157,719,721,81
Atlanta Hawks,33,17,16,0.515,1599,3781,1424,3047,46.7,341,1026,33.2,592,716,82.7,361,1095,1456,793,441,236,160,172,652,682,-10
Indiana Pacers,33,17,16,0.515,1584,3781,1349,2948,45.8,491,1327,37.0,592,752,78.7,332,1058,1390,890,518,263,199,165,731,659,-22
Portland Trail Blazers,33,17,16,0.515,1594,3695,1326,2783,47.6,423,1098,38.5,620,801,77.4,352,1064,1416,798,506,215,130,149,669,701,0
Miami Heat,33,16,17,0.485,1599,3563,1279,2834,45.1,411,1195,34.4,594,722,82.3,306,1042,1348,786,456,263,103,138,630,666,-39
Minnesota Timberwolves,33,16,17,0.485,1589,3787,1408,2874,49.0,366,1073,34.1,605,778,77.8,308,1097,1405,854,532,280,177,124,719,674,-30
Golden State Warriors,34,16,18,0.471,1637,3967,1444,3025,47.7,551,1448,38.1,528,664,79.5,321,1131,1452,998,581,229,138,136,745,636,-32
Toronto Raptors,33,15,18,0.455,1594,3675,1337,2969,45.0,350,1064,32.9,651,821,79.3,411,1001,1412,749,415,311,166,157,673,697,18
Chicago Bulls,32,14,18,0.438,1551,3624,1348,2790,48.3,340,925,36.8,588,718,81.9,279,1073,1352,799,458,240,152,174,634,614,-41
Oklahoma City Thunder,33,14,19,0.424,1614,3808,1411,3065,46.0,382,1111,34.4,604,760,79.5,380,1091,1471,802,479,263,171,177,711,660,-48
Los Angeles Lakers,33,13,20,0.394,1599,3818,1402,2933,47.8,335,999,33.5,679,851,79.8,308,1162,1470,808,475,222,162,163,616,708,-76
Orlando Magic,34,13,21,0.382,1642,3750,1351,2878,46.9,370,1062,34.8,678,843,80.4,343,1137,1480,743,546,226,168,175,711,684,-97
Washington Wizards,34,13,21,0.382,1642,3780,1413,2959,47.8,373,1080,34.5,581,766,75.8,306,1169,1475,842,457,235,185,148,671,661,-85
San Antonio Spurs,32,10,22,0.313,1541,3540,1348,2898,46.5,367,1065,34.5,477,653,73.0,380,978,1358,874,517,231,134,134,637,604,-305
Houston Rockets,32,9,23,0.281,1546,3502,1252,2825,44.3,361,1095,33.0,637,821,77.6,438,1061,1499,687,555,253,153,196,659,712,-187
Charlotte Hornets,33,9,24,0.273,1614,3673,1375,3079,44.7,353,1084,32.6,570,765,74.5,421,1082,1503,817,465,259,161,218,713,692,-224
Detroit Pistons,35,8,27,0.229,1690,3871,1373,3063,44.8,397,1156,34.3,728,940,77.4,388,1114,1502,763,509,234,127,215,791,764,-271
